Area Name,2018 Flu Pneum Count,2018 Flu Pneum Rate,2018 Flu Pneum MOV,2017 Flu Pneum Count,2017 Flu Pneum Rate,2017 Flu Pneum MOV,2016 Flu Pneum Count,2016 Flu Pneum Rate,2016 Flu Pneum MOV,2015 Flu Pneum Count,2015 Flu Pneum Rate,2015 Flu Pneum MOV,2014 Flu Pneum Count,2014 Flu Pneum Rate,2014 Flu Pneum MOV,2013 Flu Pneum Count,2013 Flu Pneum Rate,2013 Flu Pneum MOV,2012 Flu Pneum Count,2012 Flu Pneum Rate,2012 Flu Pneum MOV,2011 Flu Pneum Count,2011 Flu Pneum Rate,2011 Flu Pneum MOV,2010 Flu Pneum Count,2010 Flu Pneum Rate,2010 Flu Pneum MOV,2009 Flu Pneum Count,2009 Flu Pneum Rate,2009 Flu Pneum MOV,Total Recorded Deaths 2018,Total Recorded Deaths 2017,Total Recorded Deaths 2016,Total Recorded Deaths 2015,Total Recorded Deaths 2014,Total Recorded Deaths 2013,Total Recorded Deaths 2012,Total Recorded Deaths 2011,Total Recorded Deaths 2010,Total Recorded Deaths 2009,"2018 AADR per 100,000","2017 AADR per 100,000","2016 AADR per 100,000","2015 AADR per 100,000","2014 AADR per 100,000","2013 AADR per 100,000","2012 AADR per 100,000","2011 AADR per 100,000","2010 AADR per 100,000","2009 AADR per 100,000",Deaths cardiorespiratory ages 0 to 24 2008-2018,Deaths cardiorespiratory ages 25 to 64 2008-2018,Deaths cardiorespiratory 65plus 2008-2018,Cardiovascular deaths 2018,Cardiovascular deaths 2017,Cardiovascular deaths 2016,Cardiovascular deaths 2015,Cardiovascular deaths 2014,Cardiovascular deaths 2013,Cardiovascular deaths 2012,Cardiovascular deaths 2011,Cardiovascular deaths 2010,Cardiovascular deaths 2009
Florida,3082,14.7,0.5,3040,14.8,0.5,2807,13.9,0.5,2666,13.4,0.5,2663,13.6,0.5,2644,13.7,0.5,2304,12.1,0.5,2418,12.8,0.5,2217,11.8,0.5,2405,12.9,0.5,208116,206160,199956,194297,187939,182965,178731,175550,175161,171321,679,688,686,681,677,677,680,689,687,667,2173,116853,620286,65061,63534,62108,60873,57676,55231,54039,52672,53560,53591
Alachua ,27,10.2,3.9,29,11.2,4.1,22,8.5,3.6,11,4.3,2.5,23,9.1,3.7,23,9.3,3.8,16,6.5,3.2,13,5.3,2.9,17,6.9,3.3,25,10.1,4,3799,3481,3330,3310,3286,3249,3041,3091,3060,2920,765,729,756,746,752,765,752,761,763,775,36,1122,4978,514,471,491,473,487,507,458,432,471,476
Baker ,8,29.1,20.2,7,25.9,19.2,4,14.8,,4,14.8,,6,22.2,17.8,3,11.2,,6,22.3,17.8,4,14.9,,8,29.6,20.5,3,11.1,,170,159,151,132,124,141,159,130,147,143,996,953,909,909,836,925,1010,933,1003,837,3,240,703,89,89,55,50,70,70,60,61,69,50
Bay ,42,23.1,7,44,24.6,7.3,38,21.5,6.8,36,20.7,6.8,38,22.2,7.1,31,18.2,6.4,13,7.7,4.2,9,5.3,3.5,26,15.4,5.9,16,9.5,4.7,2094,2379,2253,2193,2226,2012,1834,1713,1789,1798,889,917,893,877,922,889,826,816,841,802,21,1590,5796,581,620,557,510,576,582,502,489,464,510
Bradford ,4,14.2,,2,7.2,,4,14.6,,2,7.3,,2,7.3,,2,7.3,,3,11.1,,2,7.1,,2,7,,3,10.4,,210,199,203,178,195,195,169,200,208,207,895,923,852,855,813,855,872,831,831,953,3,236,882,103,87,87,80,73,87,72,81,78,84
Brevard ,97,16.6,3.3,111,19.2,3.6,101,17.7,3.5,100,17.7,3.5,120,21.6,3.9,119,21.7,3.9,100,18.3,3.6,109,20,3.8,72,13.2,3.1,75,13.8,3.1,7496,7470,7243,6821,6627,6378,6218,5981,5876,5583,797,802,787,760,750,747,744,746,740,685,58,3941,22726,2388,2345,2268,2181,2028,1882,1844,1818,1809,1767
Broward ,165,8.7,1.3,148,7.9,1.3,177,9.5,1.4,159,8.7,1.3,200,11.1,1.5,194,10.9,1.5,198,11.2,1.6,175,10,1.5,195,11.2,1.6,167,9.6,1.5,15016,15280,15151,14687,14108,13924,13930,13840,14299,13974,624,638,650,634,632,636,653,657,672,667,199,8900,52959,5599,5485,5603,5531,5149,4790,4674,4616,4882,4835
Calhoun ,2,13.1,,2,13.6,,4,27.4,,4,27.5,,3,20.6,,2,13.7,,5,34.2,29.9,1,6.8,,2,13.7,,2,13.6,,167,152,143,122,144,122,115,155,141,139,989,948,961,876,946,820,784,934,896,842,0,148,559,56,44,53,44,47,48,45,38,56,64
Charlotte ,74,42.2,9.6,52,29.9,8.1,65,38,9.2,65,38.7,9.4,52,31.5,8.6,48,29.3,8.3,47,28.7,8.2,49,30.4,8.5,25,15.6,6.1,45,28.2,8.2,2841,2901,2714,2660,2487,2372,2365,2452,2383,2290,647,678,646,664,648,624,605,645,676,599,14,1165,8696,735,826,782,761,720,701,699,693,717,682
Citrus ,17,11.7,5.6,14,9.7,5.1,18,12.6,5.8,14,9.9,5.2,19,13.5,6.1,16,11.4,5.6,11,7.8,4.6,13,9.2,5,16,11.3,5.6,23,16.3,6.6,2513,2441,2404,2437,2471,2264,2274,2241,2208,2209,929,834,845,842,864,790,818,825,801,766,15,1454,10454,1074,1036,944,989,976,853,842,811,859,885
Clay ,30,14.1,5,34,16.1,5.4,20,9.7,4.2,16,7.9,3.9,18,9.1,4.2,32,16.5,5.7,19,9.9,4.4,31,16.2,5.7,21,11,4.7,26,13.7,5.3,2064,2082,1915,1879,1619,1624,1443,1366,1280,1263,818,803,803,822,782,830,810,854,796,745,21,1190,4970,491,485,465,514,461,435,407,457,406,395
Collier ,49,13.3,3.7,37,10.3,3.3,31,8.8,3.1,37,10.7,3.5,29,8.6,3.1,29,8.7,3.2,11,3.3,2,23,7.1,2.9,19,5.9,2.7,23,7.2,2.9,3533,3539,3343,3157,3138,3063,3051,2987,2979,2756,457,481,459,468,468,466,493,514,511,513,19,1091,10960,1236,1152,1105,1026,884,848,906,861,892,752
Columbia ,10,14.4,8.9,10,14.4,8.9,8,11.7,8.1,6,8.8,7,11,16.2,9.6,11,16.3,9.6,8,11.8,8.2,11,16.3,9.6,9,13.3,8.7,18,26.7,12.3,938,1025,921,884,880,905,860,886,862,842,920,976,885,869,928,962,917,947,922,859,5,623,2331,202,235,227,208,229,203,194,218,216,201
DeSoto ,288,10.3,1.2,330,12,1.3,291,10.7,1.2,242,9.1,1.1,242,9.2,1.2,241,9.3,1.2,252,9.8,1.2,268,10.6,1.3,232,9.3,1.2,263,10.6,1.3,20922,21392,20984,20238,19641,19188,19332,18723,18755,18337,561,586,594,594,599,605,632,632,632,622,279,11629,68261,7316,7451,7216,7076,6565,6291,6092,5904,6117,6195
Dixie ,3,8.4,,8,22.6,15.6,5,14.2,12.4,5,14.3,12.6,5,14.5,12.7,9,26.2,17.1,6,17.5,14,2,5.8,,2,5.7,,10,28.8,17.8,327,329,293,310,235,240,197,232,257,226,713,766,695,727,602,663,648,712,721,587,1,232,1037,93,114,89,99,85,93,82,109,104,62
Duval ,1,6,,3,17.6,,3,17.8,,1,6.1,,3,18.3,,2,12.3,,1,6.1,,1,6.1,,2,12.2,,1,6.1,,120,109,79,94,111,111,84,93,91,98,904,1010,857,979,1017,946,913,967,864,840,2,173,675,71,64,58,67,67,49,60,61,49,69
Escambia ,120,12.6,2.2,142,15.1,2.5,147,15.8,2.6,141,15.5,2.6,156,17.5,2.7,142,16.2,2.7,115,13.2,2.4,153,17.7,2.8,132,15.3,2.6,169,19.7,3,9834,9581,9006,8672,8552,8658,8285,8435,8289,8369,874,869,835,838,830,870,854,872,836,846,140,6932,22117,2501,2313,2189,2331,2272,2265,2162,2138,2010,2130
Flagler ,62,19.6,4.9,61,19.5,4.9,40,12.9,4,67,21.8,5.2,33,10.8,3.7,50,16.6,4.6,34,11.3,3.8,46,15.4,4.4,40,13.4,4.2,35,11.7,3.9,4522,4157,4151,4113,3945,3898,3771,3747,3615,3688,926,905,881,900,894,890,896,871,882,861,55,2613,9579,960,981,891,893,960,900,882,894,921,955
Franklin ,21,19.4,8.3,17,16,7.6,18,17.4,8,18,17.7,8.2,20,20.1,8.8,12,12.2,6.9,17,17.5,8.3,4,4.2,,18,18.8,8.7,8,8.4,5.8,1301,1183,1086,1032,1085,1041,976,914,887,769,700,707,690,677,720,704,710,693,674,554,7,599,3935,469,422,434,403,365,325,322,300,255,228
Gadsden ,3,24.3,,4,33.3,,4,33.5,,2,16.9,,0,0,,2,17.2,,2,17.4,,3,26,,1,8.7,,1,8.6,,69,74,97,76,92,95,77,88,88,58,748,745,908,809,1015,875,820,866,907,603,0,98,338,32,29,37,25,38,35,23,34,32,23
Gilchrist ,10,20.8,12.9,10,20.5,12.7,5,10.3,9,12,24.8,14,7,14.5,10.8,9,18.9,12.3,6,12.7,10.1,3,6.2,,7,15,11.1,7,15.2,11.2,263,245,245,243,231,286,248,224,194,197,864,746,814,834,811,933,883,908,874,855,13,446,1239,140,124,128,134,142,147,122,132,137,148
Glades ,2,11.4,,2,11.8,,2,11.9,,1,5.9,,0,0,,6,35.6,28.5,4,23.6,,3,17.7,,1,5.9,,2,11.9,,153,118,109,108,128,113,93,94,90,105,901,899,701,842,847,811,892,836,752,825,0,121,573,49,58,51,51,51,43,55,62,41,45
Gulf ,3,22.7,,1,7.5,,1,7.6,,2,15.5,,1,7.8,,2,15.7,,2,15.8,,1,7.8,,0,0,,2,15.6,,57,65,49,59,40,43,46,44,45,46,608,526,618,674,453,625,575,554,697,688,2,88,377,42,41,35,48,28,37,35,29,34,27
Hamilton ,3,18.5,,1,5.9,,2,12,,0,0,,2,12.1,,0,0,,4,25.1,,0,0,,1,6.3,,3,18.8,,110,112,120,106,131,110,136,123,102,106,870,860,860,824,966,765,1056,804,742,815,2,156,555,57,67,53,54,54,37,58,46,31,59
Hardee ,0,0,,0,0,,3,20.5,,4,27.3,,4,27.8,,5,34.7,30.4,4,27.1,,4,27.1,,2,13.5,,4,26.9,,58,69,48,62,61,67,70,61,55,48,812,997,769,847,962,876,898,864,806,723,4,129,441,44,65,44,35,51,45,39,35,33,36
Hendry ,5,18.2,16,2,7.2,,5,18.1,15.9,4,14.5,,6,21.7,17.3,6,21.7,17.3,2,7.2,,4,14.5,,3,10.9,,6,21.7,17.3,144,129,129,126,126,106,106,106,132,127,678,702,733,655,751,621,695,749,748,669,3,155,656,65,71,70,70,50,44,63,45,50,55
Hernando ,5,12.6,11,3,7.8,,4,10.4,,5,13.1,11.5,3,7.9,,6,15.9,12.7,9,23.7,15.5,4,10.3,,4,9.8,,4,10.2,,218,171,186,194,169,170,174,164,217,217,860,732,799,720,759,786,702,707,777,906,4,268,896,111,98,108,80,85,84,73,72,87,102
Highlands ,28,15.1,5.6,24,13.1,5.2,22,12.2,5.1,20,11.3,4.9,18,10.3,4.7,19,10.9,4.9,21,12.1,5.2,18,10.4,4.8,25,14.5,5.7,36,20.9,6.8,2821,2682,2657,2549,2386,2413,2476,2418,2410,2384,847,833,819,794,759,784,804,826,798,740,13,1388,8423,881,796,782,721,624,630,705,704,697,823
Hillsborough ,19,18.4,8.3,21,20.5,8.8,25,24.6,9.6,28,27.7,10.3,31,31,10.9,31,31.3,11,23,23.2,9.5,26,26.3,10.1,22,22.3,9.3,26,26.2,10.1,1633,1755,1623,1447,1473,1516,1476,1399,1418,1271,714,773,725,623,674,706,714,641,722,649,12,705,5949,537,502,542,489,447,432,482,431,445,481
Holmes ,180,12.7,1.9,192,13.8,2,186,13.7,2,153,11.5,1.8,152,11.6,1.8,160,12.5,1.9,136,10.8,1.8,116,9.3,1.7,96,7.8,1.6,126,10.3,1.8,11948,11542,11500,11185,10691,10461,10214,9904,9992,10182,728,716,741,741,738,754,754,741,735,726,167,7950,29455,3350,3053,3123,3013,2864,2831,2826,2677,2699,2770
Indian River ,9,44.1,28.8,8,39.7,27.5,2,10,,8,40.2,27.8,4,20,,5,25,21.9,5,25,21.9,4,20.1,,3,15.1,,2,10,,211,193,192,201,180,196,204,189,219,192,1023,861,949,1021,949,984,1015,950,1088,865,1,237,944,84,73,91,99,69,89,96,74,107,93
Jackson ,29,19.1,6.9,30,20,7.2,25,17,6.7,24,16.7,6.7,22,15.6,6.5,23,16.5,6.7,38,27.2,8.7,28,20.2,7.5,18,13,6,18,13.1,6,2155,2050,2045,1991,2080,1870,1815,1805,1765,1786,640,614,658,650,677,636,617,648,618,618,13,791,6505,681,595,662,625,583,531,515,510,526,540
Jefferson ,13,25.7,13.9,13,25.8,14,11,21.9,12.9,9,17.8,11.7,8,15.9,11,7,13.9,10.3,5,10,8.8,6,12,9.6,6,12.1,9.6,5,10,8.8,578,565,537,592,541,495,458,539,479,511,972,935,885,924,890,887,810,954,877,843,11,463,1826,179,192,174,185,170,186,151,194,179,192
Lafayette ,2,13.6,,6,41.3,33,2,13.8,,5,34.5,30.2,5,34.3,30,3,20.6,,4,27.6,,6,41.1,32.8,5,34,29.8,7,47.4,35.1,110,85,108,87,87,93,103,113,106,79,716,823,914,753,739,756,743,918,849,690,0,136,463,48,54,58,44,51,38,37,52,44,39
Lake ,3,35.9,,1,11.6,,1,11.6,,3,34.7,,1,11.5,,2,23.2,,1,11.6,,2,23,,2,22.6,,0,0,,59,53,36,41,41,46,45,42,58,46,858,970,815,733,632,839,834,941,765,830,0,63,231,27,23,21,17,16,25,21,24,19,16
Lee ,57,16.7,4.3,47,14.1,4,40,12.3,3.8,36,11.3,3.7,48,15.4,4.4,51,16.7,4.6,43,14.3,4.3,52,17.4,4.7,36,12.1,4,39,13.2,4.1,3944,3891,3627,3508,3297,3143,2841,2915,3028,2966,728,763,723,720,699,691,666,683,700,673,18,1947,12612,1311,1288,1271,1195,1166,1036,992,1036,1067,1052
Leon ,103,14.3,2.8,83,11.8,2.5,65,9.5,2.3,62,9.3,2.3,55,8.4,2.2,51,7.9,2.2,55,8.6,2.3,66,10.5,2.5,71,11.5,2.7,71,11.6,2.7,7346,7401,6950,6880,6481,6328,5943,5974,5950,5666,587,623,594,600,592,584,576,612,611,559,58,3547,22234,2221,2293,2137,2347,2035,2051,1844,1815,1836,1835
Levy ,24,8.3,3.3,25,8.6,3.4,24,8.3,3.3,40,14,4.3,29,10.3,3.7,38,13.6,4.3,21,7.6,3.2,33,11.9,4.1,31,11.2,4,40,14.6,4.5,2662,2709,2456,2448,2377,2382,2351,2201,2161,2123,713,725,678,681,706,747,775,721,737,702,36,1325,5102,570,576,485,504,476,516,529,479,460,468
Liberty ,5,12,10.5,4,9.8,,7,17.2,12.8,4,9.9,,3,7.4,,6,14.9,11.9,7,17.4,12.9,5,12.3,10.8,5,12.3,10.7,2,4.9,,241,434,445,473,416,393,416,403,386,364,863,911,907,921,909,862,906,954,955,830,3,389,1610,174,153,168,147,136,145,135,134,156,139
Madison ,1,11.4,,2,22.6,,1,11.4,,0,0,,0,0,,0,0,,1,11.7,,1,11.9,,2,24,,3,36,,40,31,24,23,43,20,20,24,31,33,960,874,742,719,964,663,836,1015,1047,927,1,72,206,28,21,22,14,29,9,17,26,16,17
Manatee ,5,25.8,22.6,4,20.7,,7,36.4,26.9,6,31.3,25,0,0,,9,46.4,30.3,4,20.8,,6,31.1,24.9,6,31.2,25,4,20.7,,171,131,148,152,165,154,150,144,129,144,939,765,884,936,1004,924,908,918,854,872,2,208,761,90,61,71,82,87,65,82,78,73,76
Marion ,54,14.2,3.8,58,15.8,4.1,39,10.9,3.4,37,10.5,3.4,38,11.1,3.5,36,10.8,3.5,17,5.1,2.4,25,7.7,3,23,7.1,2.9,29,9,3.3,3994,3894,3988,3814,3712,3512,3372,3381,3264,3124,621,638,667,647,636,615,615,646,636,600,38,2114,12782,1324,1217,1265,1206,1134,1186,1147,1191,1177,1186
Martin ,70,19.7,4.6,44,12.5,3.7,47,13.6,3.9,41,12,3.7,39,11.5,3.6,41,12.2,3.7,40,12,3.7,46,13.9,4,41,12.4,3.8,47,14.2,4.1,5069,4882,4837,4543,4402,4420,4138,4134,3944,3758,860,834,853,801,779,808,771,794,772,721,46,2793,16490,1734,1682,1687,1639,1528,1505,1375,1371,1319,1315
Miami-Dade ,35,22.5,7.4,19,12.5,5.6,28,18.5,6.9,22,14.6,6.1,20,13.4,5.9,18,12.2,5.6,12,8.1,4.6,15,10.2,5.2,14,9.6,5,18,12.3,5.7,1863,1972,1991,1898,1869,1810,1687,1681,1670,1633,590,603,628,567,589,617,563,572,572,564,13,720,6624,608,679,631,589,577,530,473,457,449,498
Monroe ,10,13.1,8.1,20,25.9,11.3,17,22.2,10.6,12,16.1,9.1,6,8.1,6.5,7,9.5,7,6,8.2,6.6,4,5.5,,5,6.9,6,8,10.9,7.5,495,549,562,603,549,540,531,526,531,544,626,669,692,739,659,657,640,680,734,629,5,559,1836,212,224,223,246,206,175,159,154,170,168
Nassau ,16,19.3,9.4,16,20.1,9.8,19,24.3,10.9,15,19.5,9.9,15,19.9,10,17,22.7,10.8,15,20.3,10.3,18,24.4,11.3,15,20.4,10.3,19,26.2,11.8,680,660,617,621,500,455,417,439,419,386,831,862,808,757,788,802,732,815,773,817,7,567,2331,257,249,238,221,207,215,179,177,175,192
Okaloosa ,29,14.6,5.3,31,15.9,5.6,26,13.5,5.2,23,12,4.9,30,15.7,5.6,32,17,5.9,25,13.3,5.2,28,15.3,5.7,18,10,4.6,19,10.5,4.7,1942,1836,1712,1787,1636,1578,1522,1472,1451,1462,845,826,795,852,797,777,766,786,762,781,22,1192,5104,517,492,465,491,467,455,420,396,417,453
Okeechobee ,15,36.2,18.3,10,24.1,14.9,9,22,14.3,8,19.9,13.8,9,22.6,14.8,15,37.7,19.1,4,10.1,,5,12.6,11,5,12.5,11,5,12.5,11,389,426,398,368,351,376,342,339,380,329,810,909,871,824,846,857,859,783,891,756,4,370,1497,147,146,171,150,127,131,136,112,126,124
Orange ,123,9,1.6,122,9.3,1.6,111,8.6,1.6,107,8.5,1.6,102,8.3,1.6,131,10.8,1.9,120,10.2,1.8,113,9.7,1.8,102,8.9,1.7,112,9.9,1.8,9788,9460,9007,8435,8002,7911,7834,7439,7422,7221,680,687,687,689,666,683,701,693,689,693,151,5728,22082,2642,2578,2467,2391,2161,2083,2047,1956,1943,1867
Osceola ,51,14.2,3.9,33,9.7,3.3,29,8.9,3.2,37,11.9,3.8,39,13.1,4.1,34,11.7,3.9,40,14.1,4.4,19,6.9,3.1,25,9.3,3.6,18,6.8,3.1,2320,2246,1945,2010,1906,1834,1727,1662,1656,1576,711,725,687,701,704,726,707,699,694,671,36,1621,6396,752,792,698,721,654,612,586,537,559,506
Palm Beach ,191,13.2,1.9,198,14,2,197,14.1,2,183,13.2,1.9,183,13.4,1.9,166,12.3,1.9,149,11.1,1.8,172,13,1.9,160,12.1,1.9,151,11.5,1.8,15382,15656,15359,14868,14542,14100,13870,13612,13639,13350,570,597,598,587,575,568,567,568,574,587,127,6228,50693,5262,5159,5039,4789,4456,4500,4496,4413,4532,4420
Pasco ,92,17.7,3.6,69,13.6,3.2,78,15.7,3.5,67,13.7,3.3,59,12.3,3.1,57,12,3.1,46,9.8,2.8,44,9.4,2.8,34,7.3,2.5,50,10.8,3,6172,5751,5674,5623,5530,5411,5294,5104,4981,4978,812,785,782,774,762,759,769,788,773,699,53,3701,18466,1859,1695,1758,1699,1688,1577,1516,1529,1576,1642
Pinellas ,176,18.1,2.7,222,23.1,3,235,24.6,3.1,200,21.1,2.9,186,19.9,2.9,172,18.5,2.8,148,16.1,2.6,149,16.2,2.6,156,17,2.7,135,14.7,2.5,12912,13012,12682,12485,12327,12122,11850,11962,12012,11968,721,720,714,705,712,707,714,731,743,741,96,6836,35673,3402,3380,3289,3296,3320,3325,3324,3140,3143,3284
Polk ,172,25.2,3.8,170,25.6,3.8,139,21.4,3.6,169,26.6,4,182,29.1,4.2,139,22.6,3.7,108,17.8,3.3,102,16.9,3.3,92,15.3,3.1,109,18.2,3.4,6755,6500,6238,6309,6095,5749,5689,5513,5561,5392,762,766,760,773,756,739,748,746,747,696,78,4603,21987,2229,2182,2092,2113,2029,1924,1879,1834,1890,1813
Putnam ,15,20.4,10.3,15,20.5,10.4,13,17.8,9.7,11,15.1,8.9,12,16.5,9.4,17,23.4,11.1,13,17.8,9.7,13,17.6,9.6,17,22.9,10.9,8,10.7,7.4,879,817,832,827,851,778,787,768,831,701,1016,977,911,925,946,908,883,960,1003,837,11,749,2905,280,260,239,285,277,231,244,249,273,249
St. Johns ,32,13.3,4.6,25,10.9,4.3,33,14.9,5.1,20,9.3,4.1,34,16.3,5.5,33,16.3,5.5,21,10.7,4.6,36,18.6,6.1,26,13.6,5.2,24,12.8,5.1,1675,1596,1494,1497,1429,1309,1334,1218,1047,1005,641,649,653,666,655,623,638,624,634,584,22,881,5316,534,542,534,532,514,448,438,374,388,336
St. Lucie ,34,11.2,3.8,52,17.3,4.7,40,13.6,4.2,41,14.2,4.3,24,8.5,3.4,29,10.3,3.8,20,7.1,3.1,21,7.5,3.2,36,12.9,4.2,36,13.1,4.3,3099,2965,2878,2783,2762,2648,2581,2554,2532,2519,685,678,698,679,688,665,665,681,683,648,37,1822,10065,1085,993,987,978,978,836,822,775,860,831
Santa Rosa ,41,23.4,7.1,23,13.4,5.5,19,11.3,5.1,27,16.5,6.2,16,10,4.9,22,13.9,5.8,8,5.1,3.6,15,9.7,4.9,24,15.8,6.3,18,12,5.6,1133,1027,934,870,783,847,812,853,788,803,888,823,798,777,761,831,802,870,794,789,22,993,4128,486,408,394,365,371,363,339,341,324,356
Sarasota ,148,35.6,5.7,121,29.7,5.3,89,22.2,4.6,88,22.3,4.7,76,19.6,4.4,80,20.8,4.5,89,23.2,4.8,88,23,4.8,62,16.3,4.1,80,21.2,4.6,5903,5625,5628,5556,5243,5157,4988,4902,4963,4958,587,601,608,611,586,578,583,591,599,577,25,2044,18071,1720,1589,1633,1507,1555,1388,1544,1448,1573,1512
Seminole ,68,14.7,3.5,61,13.4,3.3,41,9.1,2.8,41,9.2,2.8,56,12.8,3.3,49,11.3,3.2,47,11,3.1,53,12.5,3.4,46,10.9,3.1,41,9.7,3,3715,3673,3628,3497,3261,2993,3032,2948,3015,2920,666,671,658,663,658,638,661,656,658,713,52,2004,10305,1149,1119,1121,1045,952,841,858,792,821,864
Sumter ,21,16.7,7.1,27,21.8,8.2,19,15.9,7.2,19,16.3,7.3,17,15.1,7.2,23,21.6,8.8,10,9.9,6.1,16,16.4,8,18,19.1,8.8,19,20.9,9.4,2094,2107,2090,2009,1800,1683,1555,1407,1365,1220,636,621,638,623,601,579,566,645,603,587,4,591,5246,629,608,578,517,466,399,391,378,367,318
Suwannee ,13,28.8,15.7,8,18,12.4,7,15.8,11.7,11,24.8,14.6,12,27.1,15.3,9,20.5,13.4,8,18.3,12.7,12,27.6,15.6,7,16.7,12.4,5,12.2,10.7,336,343,320,322,338,304,323,312,267,270,851,947,884,925,953,855,899,896,818,836,6,387,1901,163,198,166,178,188,154,168,171,140,149
Taylor ,8,35.9,24.9,3,13.5,,2,8.9,,5,22,19.3,0,0,,6,26.1,20.9,1,4.4,,2,8.9,,2,8.9,,2,8.9,,188,166,201,195,174,153,181,149,165,175,947,816,984,864,854,834,915,854,829,829,3,228,724,88,59,64,79,65,71,92,67,54,65
Union ,3,18.8,,5,31.5,27.6,4,25.2,,0,0,,3,19.1,,2,12.9,,0,0,,2,12.9,,3,19.3,,3,19.5,,111,117,146,142,154,143,149,123,124,99,1375,1410,1498,1568,1467,1494,1148,1252,1374,1351,1,245,449,67,57,58,51,51,47,46,43,53,48
Volusia ,110,20.6,3.9,132,25.1,4.3,112,21.6,4,102,19.9,3.9,113,22.4,4.1,85,17,3.6,84,16.9,3.6,93,18.8,3.8,89,18,3.7,111,22.4,4.2,7250,7514,7126,6929,6764,6410,6370,6064,6124,5905,842,859,816,814,795,785,787,775,795,739,60,4353,22744,2341,2396,2282,2207,2112,1935,1878,1797,1787,1718
Wakulla ,3,9.3,,3,9.3,,0,0,,3,9.6,,4,12.8,,1,3.2,,0,0,,2,6.5,,0,0,,4,13.2,,158,131,175,125,142,138,120,132,134,121,870,868,959,829,892,908,859,958,802,710,4,219,707,82,75,88,71,87,60,56,68,47,65
Walton ,15,22.1,11.2,10,15.2,9.4,9,14.2,9.3,11,18,10.6,5,8.3,7.3,6,10.3,8.2,8,14,9.7,4,7.2,,6,10.9,8.7,8,14.6,10.1,692,630,567,529,498,491,460,477,480,446,833,773,785,731,774,787,761,788,799,672,8,457,1794,187,196,193,191,160,173,148,151,151,142
Washington ,7,27.7,20.5,7,28.1,20.8,4,16.1,,7,28.1,20.8,3,12,,9,36.3,23.7,2,8,,9,36.5,23.8,6,24.1,19.3,5,20.2,17.7,264,241,226,182,209,208,200,219,214,194,1154,1065,1080,953,935,897,857,957,1071,892,1,288,956,106,106,101,101,80,82,75,81,102,94
