District,FDOH Deaths by Age 5/21,FDOH Deaths ages 0-24,FDOH Deaths ages 25-44,FDOH Deaths ages 45-64,FDOH Deaths ages 65-84,FDOH Deaths ages 85+,FDOH Male Deaths,FDOH Female Deaths,FDOH Deaths by race/ethnicity 5/21,FDOH W TOTAL,FDOH W/H,FDOH W,FDOH W/U,FDOH B TOTAL,FDOH B/H,FDOH B,FDOH B/U,FDOH O TOTAL,FDOH O/H,FDOH O,FDOH O/U,FDOH U TOTAL,FDOH U/H,FDOH U,FDOH U/U,ME Deaths TOTAL,ME Deaths Age 0-24,ME Deaths Age 25-44,ME Deaths Age 45-64,ME Deaths Age 65-84,ME Deaths Age 85+,ME Deaths Male,ME Deaths Female,ME Deaths Other,ME W,ME B,ME H,ME Other,ME U,ME Asian/Pac,ME Arabic,ME Haitian,ME AIAN,ME M,ME W/H,ME W/I,ME Not Reported
District 1,46,0,1,2,25,18,25,21,46,33,1,30,2,12,0,10,2,1,0,1,0,0,0,0,0,33,0,0,3,18,12,17,16,0,23,10,0,0,0,0,0,0,0,0,0,0,0
District 2,16,0,3,7,4,2,10,6,10,6,0,5,1,4,0,4,0,0,0,0,0,0,0,0,0,18,0,3,8,4,3,10,8,0,6,11,1,0,0,0,0,0,0,0,0,0,0
District 3,25,0,1,4,13,7,16,9,23,17,1,16,0,6,0,6,0,1,1,0,0,0,0,0,0,11,0,0,1,7,3,5,6,0,9,1,0,0,0,0,0,0,0,0,1,0,0
District 4,65,0,2,9,37,17,35,30,62,36,2,33,1,23,0,22,1,3,0,2,1,1,0,0,1,62,0,1,10,37,14,37,25,0,39,21,1,0,0,0,1,0,0,0,0,0,0
District 5,55,0,0,10,34,11,31,24,50,45,5,40,0,2,0,2,0,6,3,3,0,0,0,0,0,51,0,0,10,31,10,26,25,0,48,1,1,0,0,1,0,0,0,0,0,0,0
District 6,87,0,1,6,45,35,40,47,84,75,1,72,2,6,0,6,0,3,1,2,0,1,0,0,1,85,0,0,6,46,33,40,45,0,80,4,0,0,0,1,0,0,0,0,0,0,0
District 7,35,0,0,2,20,13,18,17,35,29,1,28,0,3,0,3,0,3,0,3,0,0,0,0,0,29,0,1,2,18,8,18,11,0,25,3,0,0,0,0,0,0,0,0,0,0,0
District 8,12,0,0,1,10,1,3,9,12,7,0,7,0,5,0,5,0,0,0,0,0,0,0,0,0,21,0,1,3,15,2,10,11,0,13,7,1,0,0,0,0,0,0,0,0,0,0
District 9,43,0,1,8,25,9,25,18,32,17,8,9,0,10,0,10,0,11,6,5,0,0,0,0,0,56,0,2,11,33,10,33,23,0,36,11,0,5,3,1,0,0,0,0,0,0,0
District 10,54,0,2,7,28,17,26,28,49,29,1,28,0,14,1,12,1,9,4,4,1,2,0,0,2,47,0,1,6,22,18,24,23,0,30,11,4,0,0,2,0,0,0,0,0,0,0
District 11,611,0,13,96,304,198,367,244,592,390,294,70,26,159,12,138,9,20,7,10,3,33,3,2,28,544,0,12,80,284,168,325,218,1,224,98,22,0,134,4,0,0,0,1,61,0,0
District 12,165,0,1,17,91,56,97,68,153,126,6,108,12,17,1,15,1,13,5,4,4,6,0,1,5,158,0,1,14,88,55,89,69,0,126,20,6,0,0,3,1,1,0,0,0,1,0
District 13,67,0,1,10,35,21,26,41,58,38,5,31,2,15,0,15,0,8,5,2,1,3,0,0,3,52,0,0,10,29,13,23,29,0,40,12,0,0,0,0,0,0,0,0,0,0,0
District 14,7,0,0,2,3,2,5,2,6,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,2,1,3,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0
District 15,319,0,13,32,154,120,180,139,296,220,21,191,8,55,0,53,2,17,10,5,2,16,3,0,13,273,0,11,27,141,94,153,120,0,198,45,27,0,0,0,0,0,0,0,3,0,0
District 16,3,0,0,2,1,0,3,0,3,2,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District 17,308,0,14,57,156,81,191,117,280,154,22,132,0,105,2,103,0,27,6,21,0,0,0,0,0,302,0,12,58,152,80,185,117,0,144,111,30,6,0,8,0,0,2,1,0,0,0
District 18,11,0,0,0,9,2,5,6,11,8,0,8,0,3,0,2,1,0,0,0,0,0,0,0,0,9,0,0,1,7,3,4,5,0,7,2,0,0,0,0,0,0,0,0,0,0,0
District 19,46,0,1,2,25,18,26,20,44,35,1,34,0,6,0,6,0,2,1,1,0,2,0,0,2,44,0,1,1,24,18,25,19,0,34,7,2,0,0,1,0,0,0,0,0,0,0
District 20,44,0,1,2,25,16,25,19,39,32,4,28,0,2,0,2,0,2,1,0,1,5,0,0,5,37,0,1,0,22,14,19,18,0,35,1,0,0,0,0,0,0,0,0,1,0,0
District 21,105,0,1,9,43,52,56,49,101,83,7,70,6,10,0,10,0,0,0,0,0,8,0,1,7,94,0,1,8,37,48,54,40,0,80,10,3,0,0,0,0,0,0,0,0,0,1
District 22,52,0,0,3,25,24,18,34,52,45,1,43,1,3,0,3,0,0,0,0,0,4,0,1,3,50,0,0,2,25,23,21,29,0,46,3,1,0,0,0,0,0,0,0,0,0,0
District 23,14,0,0,3,11,0,9,5,13,10,1,9,0,3,0,2,1,0,0,0,0,0,0,0,0,9,0,0,1,6,2,6,3,0,5,3,0,0,0,0,0,0,0,0,1,0,0
District 24,12,0,1,2,7,2,9,3,12,12,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,2,1,2,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0
District 25,20,0,0,4,12,4,10,10,11,11,5,6,0,0,0,0,0,7,7,0,0,0,0,0,0,23,0,0,4,15,4,13,10,0,18,0,0,3,2,0,0,0,0,0,0,0,0
Total,2222,0,57,297,1142,726,1256,966,2074,1466,392,1013,61,464,16,430,18,133,57,63,13,81,6,5,70,2017,0,48,269,1065,637,1142,874,1,1275,392,99,14,139,21,2,1,2,2,67,1,1
